name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,data_source,endedness,genetically_modified,output_type,gtex_tissue,histone_mark,transcription_factor
UBERON:0002046 ATAC-seq,.,ATAC-seq,UBERON:0002046,thyroid gland,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0002048 ATAC-seq,.,ATAC-seq,UBERON:0002048,lung,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0002078 ATAC-seq,.,ATAC-seq,UBERON:0002078,right cardiac atrium,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0002079 ATAC-seq,.,ATAC-seq,UBERON:0002079,left cardiac atrium,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0002080 ATAC-seq,.,ATAC-seq,UBERON:0002080,heart right ventricle,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0002084 ATAC-seq,.,ATAC-seq,UBERON:0002084,heart left ventricle,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0002099 ATAC-seq,.,ATAC-seq,UBERON:0002099,cardiac septum,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0002106 ATAC-seq,.,ATAC-seq,UBERON:0002106,spleen,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0002107 ATAC-seq,.,ATAC-seq,UBERON:0002107,liver,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0002113 ATAC-seq,.,ATAC-seq,UBERON:0002113,kidney,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0002168 ATAC-seq,.,ATAC-seq,UBERON:0002168,left lung,tissue,child,encode,paired,False,OutputType.ATAC,,,
UBERON:0002170 ATAC-seq,.,ATAC-seq,UBERON:0002170,upper lobe of right lung,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0002171 ATAC-seq,.,ATAC-seq,UBERON:0002171,lower lobe of right lung,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0002190 ATAC-seq,.,ATAC-seq,UBERON:0002190,subcutaneous adipose tissue,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0002369 ATAC-seq,.,ATAC-seq,UBERON:0002369,adrenal gland,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0002394 ATAC-seq,.,ATAC-seq,UBERON:0002394,bile duct,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0002469 ATAC-seq,.,ATAC-seq,UBERON:0002469,esophagus mucosa,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0003889 ATAC-seq,.,ATAC-seq,UBERON:0003889,fallopian tube,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0004550 ATAC-seq,.,ATAC-seq,UBERON:0004550,gastroesophageal sphincter,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0004992 ATAC-seq,.,ATAC-seq,UBERON:0004992,mucosa of descending colon,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0005033 ATAC-seq,.,ATAC-seq,UBERON:0005033,mucosa of gallbladder,tissue,child,encode,paired,False,OutputType.ATAC,,,
UBERON:0007610 ATAC-seq,.,ATAC-seq,UBERON:0007610,tibial artery,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0008367 ATAC-seq,.,ATAC-seq,UBERON:0008367,breast epithelium,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0008450 ATAC-seq,.,ATAC-seq,UBERON:0008450,psoas muscle,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0008952 ATAC-seq,.,ATAC-seq,UBERON:0008952,upper lobe of left lung,tissue,adult,encode,paired,False,OutputType.ATAC,,,
